stressed	{(stress)}
utensils	{(utensil)}
reclined	{<re<(cline)}
andirons	{(andiron)}
stupid	{(stupid)}
quasars	{(quasar)}
instants	{(instant)}
highfield	{(highfield)}
coachbuilder	{(coach)}{(build)}>er>
ensuing	{(ensue)}
novice	{(novice)}
set's	{(set)}
effecting	{<e<(fect)}
nay	{(nay)}
priggishness	{(prig)}>ish>>ness>
heritable	{(herit)>able>}
spading	{(spade)}
resonate	{<re<(sono)>ate>}
inharmoniously	<im<{(harmon)>y>}>ious>>ly>
hull	{(hull)}
pebbles	{(pebble)}
cannibalizing	{(cannibal)}>ize>
eulogies	{<eu<(log)>y>}
dishonor	<dis<{(honor)}
enamel	{(enamel)}
tapestried	{(tapestry)}
marketeer	{(market)}>eer>
lathes	{(lathe)}
concoctions	{(concoct)}>ion>
adjusters	{<a<(just)}>er>
counterplots	(counter){(plot)}
pinup	{(pin)}{(up)}
debunks	<de<{(bunk)}
chicaneries	{(chicane)}>ory>
rosters	{(roster)}
globulin	{(globe)>ulin>}
italicized	{(italic)}>ize>
unimaginative	<un<{(imagine)}>ive>
underdog	<under<{(dog)}
gristle	{(gristle)}
roofed	{(roof)}
handrail	{(hand)}{(rail)}
normalize	{(norm)>al>}>ize>
binoculars	{(bin)(ocul)>ar>}
quartered	{(quarter)}
deprecation	{(deprecate)}>ion>
undoing	<un<{(do)}
casual	{(casual)}
encroachments	{(encroach)}>ment>
lenny	{(lenny)}
sowers	{(sow)}>er>
alpenstock	{(alpenstock)}
hazed	{(haze)}
insufferably	<im<{(suffer)}>able>>y>
beadier	{(bead)}>y>>er>
pusillanimous	{(pusillanim)>ious>}
bitten	{(bit)}>en>
infiltration	<in<{(filter)>ate>}>ion>
invective	{(invective)}
pleasantry	{(please)>ant>}>ory>
constricting	{<co<(strict)}
cafeteria	{(cafeteria)}
slobber	{(slobber)}
tattlers	{(tattle)}>er>
shimmered	{(shimmer)}
plea	{(plea)}
truism	{(true)}>ism>
asseveration	{(asseverate)}>ion>
coquettishly	{(coquette)}>ish>>ly>
containerization	{<co<(tain)}>er>>ize>>ion>
cockatoo	{(cockatoo)}
dooming	{(doom)}
lain	{(lay)}>n>
figure	{(figure)}
factually	{(fact)}>al>>y>
woodlouse	{(wood)}{(louse)}
numskull	{(numb)(skull)}
chicago's	{(chicago)}
graphite	{(graph)>ite>}
bicameral	<bi<{(camera)}>al>
despaired	{(despair)}
divisible	{(divide)}>able>
becomingly	{(become)}>ly>
lubrication	{(lubric)>ate>}>ion>
infinitely	{<im<(fin)>ite>}>ly>
singe	{(singe)}
restructured	<re<{(struct)>ure>}
phenomena	{(phenomen)>a>}
devitalizes	<de<{(vital)}>ize>
explosions	{<ex<(plode)}>ion>
shibboleths	{(shibboleth)}
stillborn	{(still)}{(born)}
pout	{(pout)}
pentecostal	{(pentecost)}>al>
predictive	{<pre<(dict)}>ive>
flybys	{(fly)}{(by)}
marauding	{(maraud)}
irreverent	<im<{(rever)>ant>}
misjudge	<mis<{(judge)}
bella	{(bella)}
dwellings	{(dwell)}
control	{(control)}
abhors	{(abhor)}
pulled	{(pull)}
reconcile	{<re<(concile)}
pained	{(pain)}
recantations	{<re<(cant)}>ion>
babbling	{(babble)}
honks	{(honk)}
pursuers	{(pursue)}>er>
frictions	{(friction)}
forlornly	{(forlorn)}>ly>
heraclitus	{(heraclitus)}
ratters	{(rat)}>er>
innovative	{(innovate)}>ive>
sharer	{(share)}>er>
technical	{(tech)>ic>>al>}
hurtfully	{(hurt)}>ful>>ly>
fricassee	{(fricassee)}
repulsed	{<re<(pulse)}
minus	{(minus)}
armada's	{(armada)}
vicissitudes	{(vicissitude)}
kid's	{(kid)}
piecewise	{(piece)}{(wise)}
sharecrop	{(share)}{(crop)}
snog	{(snog)}
trifles	{(trifle)}
denim	{(denim)}
disavowing	<dis<<a<{(vow)}
premising	{(premise)}
providently	{<pro<(vide)>ant>}>ly>
peak	{(peak)}
ramifications	{(ramify)}>ion>
riotousness	{(riot)}>ious>>ness>
fiery	{(fire)}>y>
chippendale	{(chippendale)}
colleen	{(colleen)}
fishes	{(fish)}
rephrased	<re<{(phrase)}
cleansers	{(cleanse)}>er>
crotchet	{(crotchet)}
gals	{(gal)}
ambassadorial	{(ambassad)>or>}>al>
raged	{(rage)}
yalta	{(yalta)}
souvenirs	{(souvenir)}
interviewee	{(interview)}>ee>
frogmarching	{(frog)}{(march)}
shortbread	{(short)}{(bread)}
guffaw	{(guffaw)}
cuddling	{(cuddle)}
finalizing	{(final)}>ize>
ironmongery	{(iron)}{(monger)}>y>
unsmiling	<un<{(smile)}
stipulation	{(stipul)>ate>}>ion>
cloud	{(cloud)}
felspar	{(felspar)}
cuckolding	{(cuckold)}
semen	{(semen)}
heave	{(heave)}
wrongdoing	{(wrong)}{(do)}
defaming	{<de<(fame)}
installations	{<in<(stall)}>ion>
sistine	{(sistine)}
lustrous	{(luster)>ious>}
footlight	{(foot)}{(light)}
imprecations	{(imprecate)}>ion>
sultriest	{(sultry)}>est>
bolivia	{(bolivia)}
defames	{<de<(fame)}
moderated	{(moderate)}
evaluate	{<e<(value)>ate>}
aggrieve	{<a<(grieve)}
contingencies	{(conting)>ance>}>y>
magisterial	{(magister)>al>}
flathead	{(flat)}{(head)}
bromine	{(bromine)}
loitered	{(loiter)}
swizzle	{(swizzle)}
antiquaries	{(antique)>ory>}
humans	{(human)}
detrains	<de<{(train)}
signaled	{(sign)}>al>
abdomens	{(abdomen)}
incinerates	{<in<(ciner)>ate>}
resistless	{<re<(sist)}>less>
iodize	{(iod)>ize>}
blathered	{(blather)}
versatile	{(versatile)}
inquisitiveness	{<in<(quire)>ive>}>ness>
uttermost	{(utter)}{(most)}
turtlenecks	{(turtle)}{(neck)}
cock	{(cock)}
snuffed	{(snuff)}
bookish	{(book)}>ish>
urgings	{(urge)}
sweetened	{(sweet)}>en>
colitis	{(colitis)}
meddlers	{(meddle)}>er>
bedtime	{(bed)}{(time)}
heartlessly	{(heart)}>less>>ly>
stumps	{(stump)}
hong	{(hong)}
party's	{(party)}
devised	{(devise)}
snowflake	{(snow)}{(flake)}
hashed	{(hash)}
abominated	{(abomin)>ate>}
buying	{(buy)}
stickier	{(stick)}>y>>er>
snooping	{(snoop)}
goodwin	{(good)(win)}
limes	{(lime)}
usages	{(use)}>age>
shocker	{(shock)}>er>
scourged	{(scourge)}
probates	{(prob)>ate>}
behalf	{(behalf)}
biological	{(bio)(log)>ic>}>al>
chicanery	{(chicane)}>ory>
reorientates	<re<{(orient)}>ate>
strut	{(strut)}
hospices	{(hospice)}
fuddles	{(fuddle)}
cub's	{(cub)}
percolates	{(percolate)}
suntans	{(sun)}{(tan)}
tilting	{(tilt)}
railed	{(rail)}
commitments	{(commit)}>ment>
advocating	{<a<(voc)>ate>}
petrie	{(petrie)}
flunkey	{(flunkey)}
bedaubed	<be<{(daub)}
episcopal	{(episcopal)}
robe	{(robe)}
gagged	{(gag)}
plundered	{(plunder)}
mark	{(mark)}
mechanisms	{(mechan)>ism>}
housefuls	{(house)}>ful>
contour	{(contour)}
attar	{(attar)}
snowstorm	{(snow)}{(storm)}
anaesthetizes	{<a<<aes<(thet)>ize>}
jawbone	{(jaw)}{(bone)}
introductory	{<intra<(duct)>ory>}
exit	{(exit)}
whorehouses	{(whore)}{(house)}
assembles	{<a<(semble)}
disentangles	<dis<<en<{(tangle)}
countries	{(country)}
ceases	{(cease)}
buhl	{(buhl)}
satisfaction	{(satis)(fact)>ion>}
bluntest	{(blunt)}>est>
mormons	{(mormon)}
divergences	{<di<(verge)}>ance>
embrocates	{(embrocate)}
divulges	{(divulge)}
merely	{(mere)}>ly>
settings	{(set)}
otherworldly	{(other)}{(world)}>ly>
correspondence	{(correspond)}>ance>
sandpapers	{(sand)}{(paper)}
couturier	{(couturier)}
conveyor	{(convey)}>or>
ambling	{(amble)}
corsage	{(corsage)}
roadhouse	{(road)}{(house)}
jawbones	{(jaw)}{(bone)}
grabbers	{(grab)}>er>
tiddly	{(tiddle)}>y>
womanized	{(woman)}>ize>
underpinned	<under<{(pin)}
untiringly	<un<{(tire)}>ly>
litre	{(litre)}
ghee	{(ghee)}
natter	{(natter)}
indelicate	<im<{(delic)>ate>}
hal	{(hal)}
prescribed	{<pre<(script)}
inadmissible	<im<{(admit)}>able>
plectrum	{(plectrum)}
daddy	{(dad)}>y>
mendacious	{(mendac)>ious>}
sparkled	{(sparkle)}
pub	{(pube)}
agitating	{(agitate)}
effected	{<ef<(fect)}
lunches	{(lunch)}
marrowbones	{(marrow)}{(bone)}
apprise	{(apprise)}
loyalist	{(loyal)}>ist>
retrousse	{(retrousse)}
brute	{(brute)}
twiggier	{(twig)}>y>>er>
foxhunter	{(fox)}{(hunt)}>er>
whitemarsh	{(white)}{(marsh)}
surfeited	{(surfeit)}
typhoid	{(typhoid)}
booziest	{(booze)}>y>>est>
impudence	{(impudence)}
decongestant	<de<{(congest)}>ant>
schoolmasters	{(school)}{(master)}
roughshod	{(rough)}{(shod)}
lapwings	{(lap)}{(wing)}
jude	{(jude)}
comprised	{(comprise)}
owens	{(owens)}
inking	{(ink)}
cartographers	{(cart)(graph)>er>}
quest	{(quest)}
weighs	{(weigh)}
treatises	{(treatise)}
introverting	{<intra<(vert)}
storehouses	{(store)}{(house)}
datelined	{(date)}{(line)}
elucidation	<e<{(lucid)}>ion>
poniarded	{(poniard)}
trending	{(trend)}
bong	{(bong)}
dispossesses	<dis<{(possess)}
conjunctions	{<co<(junct)}>ion>
distraught	{(distraught)}
tenderize	{(tender)}>ize>
heavier	{(heavy)}>er>
flags	{(flag)}
evicting	{(evict)}
stunningly	{(stun)}>ly>
decapitating	{<de<(capit)>ate>}
deutsch	{(deutsch)}
steadiness	{(steady)}>ness>
filly	{(filly)}
reproducers	<re<{<pro<(duct)}>er>
pincer	{(pincer)}
yams	{(yam)}
untruth	<un<{(truth)}
frenchwoman	{(french)}(woman)
punters	{(punt)}>er>
clutched	{(clutch)}
mingles	{(mingle)}
patty	{(patty)}
uno	{(uno)}
regularization	{(regul)>ar>}>ize>>ion>
bouncer	{(bounce)}>er>
tine	{(tine)}
subjugated	{<sub<(jug)>ate>}
survives	{<sur<(vive)}
satsumas	{(satsuma)}
ultravehement	{(ultra)}{(vehem)>ant>}
misunderstand	<mis<{(understand)}
replies	{(reply)}
identifies	{(ident)>ify>}
seduction	{<se<(duct)>ion>}
swami	{(swami)}
schism	{(schism)}
billiard	{(billiard)}
steelier	{(steel)}>y>>er>
christen	{(christ)}>en>
saloons	{(saloon)}
conscript	{<co<(script)}
derailed	<de<{(rail)}
mahouts	{(mahout)}
slapstick	{(slap)}{(stick)}
retch	{(retch)}
scheherazade	{(scheherazade)}
float	{(float)}
bins	{(bin)}
welcoming	{(welcome)}
appellate	{(appell)>ate>}
riflemen	{(rifle)}(men)
leered	{(leer)}
delineate	{<de<(line)>ate>}
ministerially	{(minister)}>al>>y>
perfunctorily	{(perfunctory)}>ly>
ruminating	{(rumin)>ate>}
reappearances	<re<{(appear)}>ance>
separates	{(separ)>ate>}
fathoming	{(fathom)}
bantus	{(bantu)}
romantick	{(rome)}>ian>{(tick)}
congratulating	{(congratulate)}
cranny	{(cranny)}
escapologists	{(escape)(log)>ist>}
detailing	{(detail)}
quadrupling	{(quadr)>uple>}
vanes	{(vane)}
huguenots	{(huguenot)}
inspector	{<in<(spect)}>or>
hotheads	{(hot)}{(head)}
telexed	{(telex)}
bruno	{(bruno)}
rigmarole	{(rigmarole)}
misadventures	<mis<{(advent)>ure>}
badger	{(badger)}
orbited	{(orbit)}
jogger	{(jog)}>er>
exemplified	{(example)>ify>}
sleeted	{(sleet)}
actuarially	{(act)>ory>}>al>>ly>
urge	{(urge)}
masts	{(mast)}
emerging	{<e<(merge)}
fussy	{(fuss)}>y>
boasters	{(boast)}>er>
expenses	{(expense)}
sophisticated	{(soph)>ist>>ic>>ate>}
curriculum	{(curriculum)}
mutate	{(mutate)}
configuration	<co<{(figure)}>ion>
fingernails	{(finger)}{(nail)}
lefthander	{(left)}{(hand)}>er>
syrians	{(syria)}>n>
paddle	{(paddle)}
contenders	{(contend)}>er>
nutcases	{(nut)}{(case)}
legers	{(leger)}
awesome	{(awe)}>some>
boots	{(boot)}
flagellated	{(flagellate)}
famished	{(famish)}
spats	{(spat)}
espoused	{<e<(spouse)}
unassuming	<un<{(assume)}
reprobated	{(reprobate)}
unaccustomed	<un<{<a<(custom)}
muck	{(muck)}
harmoniums	{(harmonium)}
dark	{(dark)}
tubs	{(tube)}
insubordination	<im<{<sub<(ordin)>ate>}>ion>
perturbs	{(perturb)}
impended	{<im<(pend)}
impoundments	<in<{(pound)}>ment>
swims	{(swim)}
pea	{(pea)}
backdrop	{(back}){(drop)}
bares	{(bare)}
samaritan	{(samaritan)}
mockers	{(mock)}>er>
albeit	{(albeit)}
unsparing	<un<{(spare)}
staggered	{(stagger)}
retractions	{<re<(tract)}>ion>
willis	{(willis)}
garment	{(garment)}
slacken	{(slack)}>en>
nicodemus	{(nicodemus)}
stupefies	{(stup)>efy>}
reversionary	{<re<(verse)}>ion>>ory>
cloudcroft	{(cloud)}{(croft)}
if	{(if)}
parasites	{(parasite)}
builtin	{(built)}{(in)}
malcontented	<mal<{(content)}
chariots	{(chariot)}
willed	{(will)}
advices	{(advice)}
matrices	{(matrices)}
laths	{(lath)}
jot	{(jot)}
bragging	{(brag)}
headway	{(head)}{(way)}
concatenating	{(concatenate)}
forgivingly	{(forgive)}>ly>
cadres	{(cadre)}
faded	{(fade)}
parallelisms	{(parallel)}>ism>
parodies	{(parod)>y>}
sightseer	{(sight)}{(see)}>er>
oppressed	{<o<(press)}
ultimatums	{(ultimatum)}
salamanders	{(salamander)}
exaltation	{(exalt)}>ion>
upheld	<up<{(held)}
earthiness	{(earth)}>y>>ness>
mail	{(mail)}
benedict	{(bene)(dict)}
asides	{(aside)}
fingerplate	{(finger)}{(plate)}
legging	{(leg)}
trampled	{(trample)}
shielding	{(shield)}
fuji	{(fuji)}
immobilization	<im<{(mobile)}>ize>>ion>
superstars	<super<{(star)}
pretrial	<pre<{(try)}>al>
littleness	{(little)}>ness>
trivia	{(trivia)}
snowier	{(snow)}>y>>er>
capote	{(capote)}
boffins	{(boffin)}
fought	{(fought)}
applied	{(apply)}
reformatory	{<re<(form)}>ory>
focussed	{(foc)>us>}
owed	{(owe)}
proteolysis	{(proteolysis)}
sirens	{(siren)}
caster	{(cast)}>er>
possum	{(possum)}
malfeasant	{(mal)(fact)>ant>}
godly	{(god)}>ly>
digressions	{<di<(gress)}>ion>
publicize	{(public)}>ize>
businesswomen	{(business)}(women)
modifier	{(modify)}>er>
sprightly	{(sprightly)}
postponing	{<post<(pone)}
oversteer	<over<{(steer)}
mistake	{<mis<(take)}
weariest	{(weary)}>est>
shabby	{(shabby)}
provoke	{(provoke)}
racehorse	{(race)}{(horse)}
martyring	{(martyr)}
stateliness	{(state)}>ly>>ness>
inspirations	{<in<(spir)}>ion>
expropriated	{<ex<(propri)>ate>}
prepackage	<pre<{(pack)}>age>
terylene	{(terylene)}
starter	{(start)}>er>
disinflation	<dis<{<in<(flate)}>ion>
premiership	{(premier)}>ship>
unoccupied	<un<{(occupy)}
destroy	{(destroy)}
alice	{(alice)}
moralizers	{(morale)}>ize>>er>
suzuki	{(suzuki)}
animadverting	{(animadvert)}
matures	{(mature)}
context	{<co<(text)}
germany's	{(germany)}
patriarchy	{(pater)(arch)}>y>
pinnies	{(pinny)}
expulsions	{<ex<(pulse)}>ion>
agatha	{(agatha)}
chronic	{(chrono)>ic>}
efflorescing	{<e<(flor)>esc>}
hegemony	{(hegemony)}
upstaging	<up<{(stage)}
rosemary	{(rosemary)}
newfangledness	{(newfangled)}>ness>
helmets	{(helmet)}
king's	{(king)}
overstocked	<over<{(stock)}
downgrading	<down<{(grade)}
cantonment	{(canton)}>ment>
query	{(query)}
gyrates	{(gyrate)}
pistons	{(piston)}
increasing	{<in<(crease)}
antithesis	{<anti<(thes)>sis>}
prosodies	{(prosody)}
palaces	{(palace)}
abrasively	{(abrade)}>ive>>ly>
gasoline	{(gasoline)}
places	{(place)}
aniline	{(aniline)}
dearborn	{(dear)(born)}
sett	{(set)}
flatus	{(flatus)}
numeracy	{(numer)>acy>}
necessitated	{(necess)>itate>}
unsuited	<un<{(suit)}
forcibly	{(force)}>able>>y>
quackery	{(quack)}>ory>
submitted	{(submit)}
shawls	{(shawl)}
habituate	{(habit)}>ate>
politicians	{(politic)}>ian>
reprehends	{<re<(prehend)}
vet	{(vet)}
contraltos	{(contralto)}
curbed	{(curb)}
warehouseman's	{(ware)}{(house)}{(man)}
hocks	{(hock)}
parachute	{(para)(chute)}
counterintelligence	(counter){(intellig)>ance>}
chains	{(chain)}
cappy	{(cappy)}
dyers	{(die)}>er>
sellout	{(sell)}{(out)}
pulpy	{(pulp)}>y>
cavemen	{(cave)}{(men)}
alerting	{(alert)}
quizzing	{(quiz)}
grindings	{(grind)}
aide	{(aide)}
latins	{(latin)}
shad	{(shad)}
perfected	{<per<(fect)}
surefire	{(sure)}{(fire)}
freehand	{(free)}{(hand)}
custodian	{(custody)}>ian>
servitude	{(serve)}>itude>
hurray	{(hurray)}
sabotaged	{(sabotage)}
add	{(add)}
weeknights	{(week)}{(night)}
bilaterally	<bi<{(lateral)}>ly>
horizontal	{(horizontal)}
will	{(will)}
prepacked	<pre<{(pack)}
aromas	{(aroma)}
eased	{(ease)}
unfrock	<un<{(frock)}
forgives	{(forgive)}
carthorse	{(cart)}{(horse)}
jest	{(jest)}
dockyard	{(dock)}{(yard)}
contribution	{<co<(tribute)}>ion>
pleats	{(pleat)}
fullbacking	{(full)}{(back)}
riveted	{(rivet)}
toppled	{(topple)}
radiograms	{(radio)(gram)}
poop	{(poop)}
environs	{(environ)}
pas	{(pas)}
ventilate	{(ventilate)}
rectilinear	{(rect)(line)>ar>}
mindlessly	{(mind)}>less>>ly>
gardner	{(gardner)}
punker	{(punk)}>er>
twiddle	{(twiddle)}
perniciousness	{(pernicious)}>ness>
projecting	{<pro<(ject)}
hankerin	{(hank)}{(erin)}
agent's	{(agent)}
sermon	{(sermon)}
explosives	{<ex<(plode)}>ive>
admonitions	{<a<(monish)}>ion>
crank	{(crank)}
reclining	{<re<(cline)}
respired	{<re<(spir)}
dishonoured	<dis<{(honor)}
readings	{(read)}
beards	{(beard)}
newsagents	{(new)}{(agent)}
flee	{(flee)}
kilometers	{<kilo<(meter)}
conformations	{<co<(form)}>ion>
phrased	{(phrase)}
unplowed	<un<{(plow)}
mined	{(mine)}
parry	{(parry)}
breakdowns	{(break)}{(down)}
periscopes	{<peri<(scope)}
loped	{(lope)}
detrain	<de<{(train)}
particularizations	{(particle)>ar>}>ize>>ion>
meant	{(mean)>t>}
jacksons	{(jackson)}
shipbuilding	{(ship)}{(build)}
perennial	{<per<(ann)>al>}
masters	{(master)}
patrol	{(patrol)}
asheville	{(asheville)}
cooking	{(cook)}
derivable	{(derive)}>able>
attributions	{<a<(tribute)}>ion>
interact	<inter<{(act)}
patchen's	{(pat)}{(chen)}
microsecond	<micro<{(second)}
fortifies	{(fort)>ify>}
trivializing	{(trivia)}>al>>ize>
joggles	{(joggle)}
scuffs	{(scuff)}
halftime	<half<{(time)}
blessedness	{(bless)}>ness>
grandest	{(grand)}>est>
newsmongers	{(new)}{(monger)}
sputters	{(sputter)}
sapping	{(sap)}
prototype	{(proto)(typo)}
aspirin	{(aspirin)}
undeceives	<un<{<de<(ceive)}
lowliness	{(low)}>ly>>ness>
illiberal	<im<{(liber)>al>}
mappings	{(map)}
pacifiers	{(pacif)>y>}>er>
ethan	{(ethan)}
pops	{(pop)}
overstepped	<over<{(step)}
compassionately	{(compassion)}>ate>>ly>
result	{(result)}
drinkable	{(drink)}>able>
misdirection	<mis<{(direct)}>ion>
substrate	{(substrate)}
gunboats	{(gun)}{(boat)}
deranging	{(derange)}
cantonments	{(canton)}>ment>
safecrackers	{(safe)}{(crack)}>er>
gifting	{(gift)}
antiques	{(antique)}
transform	<trans<{(form)}
voltmeter	{(volt)}{(meter)}
plasterboard	{(plaster)}{(board)}
hemstitch	{(hem)}{(stitch)}
rend	{(rend)}
taoism	{(tao)}>ism>
aperient	{(aperient)}
vignettes	{(vignette)}
uprisings	<up<{(rise)}
remitted	{(remit)}
libidinousness	{(libid)>ious>}>ness>
semiweekly	<semi<{(week)}>ly>
resonated	{<re<(sono)>ate>}
doleful	{(dole)}>ful>
territorial	{(territory)}>al>
cosignatory	<co<{(sign)}>ory>
awry	{(awry)}
highlanders	{(high)(land)}>er>
fetlock	{(fetlock)}
realism	{(real)}>ism>
automats	{(auto)}{(mat)}
emaciated	{(emaciate)}
wasn't	{(was)}
frivolity	{(frivol)>ity>}
dares	{(dare)}
titivate	{(titivate)}
strawberries	{(straw)}(berry)
churn	{(churn)}
cosmology	{(cosmo)(log)>y>}
testing	{(test)}
drowsy	{(drowse)}>y>
dethrone	<de<{(throne)}
gunny	{(gunny)}
toadstool	{(toad)}{(stool)}
skeptically	{(skeptic)}>al>>ly>
codes	{(code)}
morbidness	{(morbid)}>ness>
storylines	{(story)}{(line)}
fidgeted	{(fidget)}
vasa	{(vasa)}
mandibles	{(mandible)}
wolfhounds	{(wolf)}{(hound)}
emanated	{(emanate)}
glister	{(glister)}
inebriation	{(inebri)>ate>}>ion>
pluming	{(plume)}
wayfarer	{(way)(fare)}>er>
overemphasized	<over<{(emphasize)}
mortgagors	{(mortgage)}>or>
semibreve	<semi<{(breve)}
isinglass	{(isinglass)}
parrs	{(parr)}
replicating	{(<re<(plic)>ate>)}
interspecies	<inter<{(species)}
grew	{(grew)}
truncated	{(truncate)}
birthright	{(birth)}{(right)}
gruffness	{(gruff)}>ness>
softwoods	{(soft)}{(wood)}
clammed	{(clam)}
mezzotints	{(mezzo)(tint)}
nonexistent	<non<{(exist)}>ant>
librettists	{(librettist)}
hissed	{(hiss)}
lemons	{(lemon)}
ambrose	{(ambrose)}
lovelier	{(love)}>ly>>er>
overlords	<over<{(lord)}
glue	{(glue)}
trussed	{(truss)}
receiver	{<re<(ceive)}>er>
ferreted	{(ferret)}
sicilian	{(sicily)}>ian>
beautify	{(beauty)}>ify>
ennobles	<en<{(noble)}
slighter	{(slight)}>er>
influx	<in<{(flux)}
dating	{(date)}
bearskins	{(bear)}{(skin)}
haunting	{(haunt)}
beckons	{(beckon)}
haircloth	{(hair)}{(cloth)}
kindred	{(kindred)}
undependable	<un<{<de<(pend)}>able>
sherbets	{(sherbet)}
brashly	{(brash)}>ly>
coroner's	{(coroner)}
ladybird	{(lady)}{(bird)}
joystick	{(joy)}{(stick)}
programmers	{(program)}>er>
navigated	{(navy)>ate>}
evaporative	{<e<(vapor)>ate>}>ive>
einstein	{(einstein)}
hormones	{(hormone)}
powdering	{(powder)}
waggle	{(waggle)}
manifest	{(manifest)}
roans	{(roan)}
cane's	{(cane)}
shipbuilders	{(ship)}{(build)}>er>
sorcerer	{(sorcer)>er>}
unbosom	<un<{(bosom)}
phaetons	{(phaeton)}
glisteningly	{(glisten)}>ly>
unwelcome	<un<{(welcome)}
piraeus	{(piraeus)}
unrewarding	<un<{(reward)}
dips	{(dip)}
defecating	{(defecate)}
tube	{(tube)}
aboard	{(aboard)}
ulcerates	{(ulcer)}>ate>
minimized	{(minim)>ize>}
pelicans	{(pelican)}
inspiring	{<in<(spir)}
frick	{(frick)}
company	{(compan)>y>}
recoilless	{<re<(coil)}>less>
variations	{(vary)}>ion>
haggle	{(haggle)}
abortive	{(abort)}>ive>
discards	{<dis<(card)}
hangings	{(hang)}
tracking	{(track)}
horridly	{(horr)>id>}>ly>
phantasm	{(phantasm)}
rafter	{(rafter)}
misspent	<mis<{(spent)}
collectors	{(collect)}>or>
part	{(part)}
restated	<re<{(state)}
ratiocinating	{(ratiocinate)}
embalmer	<en<{(balm)}>er>
wavy	{(wave)}>y>
filthier	{(filth)}>y>>er>
kiddies	{(kidd)}>y>
commentaries	{(comment)}>ory>
voyager	{(voyage)}>er>
wears	{(wear)}
cassava	{(cassava)}
optics	{(optics)}
maceration	{(macerate)}>ion>
caucasians	{(caucasia)}>n>
repossessed	<re<{(possess)}
sift	{(sift)}
liquidized	{(liqu)>id>}>ize>
honored	{(honor)}
plummetting	{(plummet)}
artifice	{(artifice)}
murmur	{(murmur)}
loneliest	{(lone)}>ly>>est>
brawniest	{(brawn)}>y>>est>
pull	{(pull)}
entrenches	<en<{(trench)}
anteroom	<ante<{(room)}
opuses	{(opus)}
steprelationship	{(step)}{(relate)}>ion>>ship>
management's	{(manage)}>ment>
geopolitical	(geo){(politic)}>al>
turbulence	{(turbul)>ance>}
irascibility	{(irascible)}>ity>
vise	{(vise)}
fears	{(fear)}
near	{(near)}
glittering	{(glitter)}
guiana	{(guiana)}
composed	{<co<(pose)}
accumulated	{<a<(cumul)>ate>}
estimator	{(esteem)>ate>}>or>
sandstorms	{(sand)}{(storm)}
swampier	{(swamp)}>y>>er>
surfeits	{(surfeit)}
unsheathing	<un<{(sheath)}
gamekeepers	{(game)}{(keep)}>er>
lidos	{(lido)}
stubbed	{(stub)}
touchers	{(touch)}>er>
approximation	{<a<(proxim)>ate>}>ion>
voyagers	{(voyage)}>er>
bonded	{(bond)}
rushlight	{(rush)}{(light)}
tripled	{(triple)}
excavating	{(excavate)}
gauged	{(gauge)}
advisedly	{(advise)}>ly>
shires	{(shire)}
teabag	{(tea)}{(bag)}
soapier	{(soap)}>y>>er>
strong	{(strong)}
considerate	{(consider)}>ate>
hells	{(hell)}
diametrically	{<dia<(meter)>ic>}>al>>ly>
lashing	{(lash)}
blacking	{(black)}
event	{(event)}
tendons	{(tendon)}
battiest	{(bat)}>y>>est>
totted	{(tot)}
espalier	{(espalier)}
mosquitoes	{(mosquito)}
sandglasses	{(sand)}{(glass)}
mincer	{(mince)}>er>
strangulated	{(strangulate)}
interrelated	<inter<{(relate)}
orgy	{(orgy)}
washcloths	{(wash)}{(cloth)}
skippering	{(skipper)}
hertz	{(hertz)}
armadillo	{(armadillo)}
outsells	<out<{(sell)}
goalmouth	{(goal)}{(mouth)}
splint	{(splint)}
adjudicators	{<a<(judic)>ate>}>or>
spacers	{(space)}>er>
completeness	{(complete)}>ness>
daniels	{(daniels)}
plantain	{(plantain)}
bible	{(bible)}
quavered	{(quaver)}
dishonour	<dis<{(honor)}
landslide	{(land)}{(slide)}
lintels	{(lintel)}
tannery	{(tan)}>ory>
around	{(around)}
dismissed	{<dis<(miss)}
mirror	{(mirror)}
peepholes	{(peep)}{(hole)}
antisocial	<anti<{(socio)>al>}
infect	{<in<(fect)}
fanny	{(fanny)}
lasers	{(laser)}
kneeling	{(kneel)}
hardwearing	{(hard)}{(wear)}
marchers	{(march)}>er>
shabbier	{(shabby)}>er>
sluts	{(slut)}
utilizable	{(util)>ize>}>able>
mixture	{(mix)}>ure>
sibilating	{(sibil)>ate>}
broached	{(broach)}
manhandles	{(man)}{(handle)}
overexcited	<over<{(excite)}
gratuitousness	{(grat)>uitous>}>ness>
melodramatic	{(melo)(drama)}>ic>
handicraft	{(hand)}>y>{(craft)}
respiring	{<re<(spir)}
penalizations	{(penal)}>ize>>ion>
evaluates	{<e<(value)>ate>}
remonstrates	{<re<(monster)>ate>}
liz	{(liz)}
undeceived	<un<{<de<(ceive)}
ushering	{(usher)}
basin	{(basin)}
procures	{(procure)}
acting	{(act)}
north	{(north)}
satiety	{(satis)>ity>}
northeast	{(north)}{(east)}
hayward	{(hayward)}
skirts	{(skirt)}
wickedest	{(wicked)}>est>
thesis	{(thes)>sis>}
fabricates	{(fabric)}>ate>
ewers	{(ewer)}
decolletages	{(decolletage)}
diverse	{(diverse)}
congers	{(conger)}
nearly	{(near)}>ly>
